infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;global;True;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;2;1;2;0;0;0;0;0;1;1;0;0;0;0;0;0
dk;global;True;1;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;7;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;8;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;9;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;10;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;global;True;1;11;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;12;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;global;True;1;13;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;14;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;global;True;1;15;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;17;1;2;0;0;0;0;0;1;1;0;0;0;0;0;0
dk;global;True;1;18;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;global;True;1;19;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;20;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;21;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;22;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;23;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;global;True;1;24;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;global;True;1;25;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;26;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;27;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;28;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;29;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;30;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;31;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;32;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;global;True;1;33;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;34;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;35;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;36;1;2;0;0;0;0;0;1;1;0;0;0;0;0;0
dk;global;True;1;37;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;38;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;39;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;40;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;41;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;42;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0
dk;global;True;1;43;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;44;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;45;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;global;True;1;46;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;47;1;2;0;0;0;0;0;1;1;0;0;0;0;0;0
dk;global;True;1;48;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;49;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;global;True;1;50;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;global;True;1;51;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;global;True;1;52;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;53;1;2;0;0;0;0;0;1;1;0;0;0;0;0;0
dk;global;True;1;54;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;global;True;1;55;1;2;0;0;0;0;0;1;1;0;0;0;0;0;0
dk;global;True;1;56;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;global;True;1;57;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;58;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;59;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0
dk;global;True;1;60;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;61;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;62;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;63;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;64;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;65;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;66;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;67;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;global;True;1;68;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
dk;global;True;1;69;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;70;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;71;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;72;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;73;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;74;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
