tid,attribute,correct_val
1,name,brad zhaofang
1,surname,dighe
1,birthyear,1977
1,birthplace,frankfurt
1,position,defender
1,team,p.a.o.k fc
1,city,tokyo
1,stadium,bmo field
1,season,2012
1,manager,xiaomin saoudi
2,name,asis sinisa
2,surname,hennebert
2,birthyear,1986
2,birthplace,elko
2,position,midfield
2,team,juventus
2,city,salvador
2,stadium,bmo field
2,season,2010
2,manager,masum kasprzak
3,name,bhuwan percy
3,surname,bouabdallah
3,birthyear,1984
3,birthplace,guangzhou
3,position,forward
3,team,boavista f.c.
3,city,naples
3,stadium,veltins-arena
3,season,2015
3,manager,duckyoung padhye
4,name,pierangela sudha
4,surname,tulley
4,birthyear,1986
4,birthplace,greensboro
4,position,goalkeeper
4,team,p.a.o.k fc
4,city,brasilia
4,stadium,king power stadium
4,season,2012
4,manager,sreenivas wohr
5,name,caryl moninder
5,surname,obermaier
5,birthyear,1984
5,birthplace,warsaw
5,position,forward
5,team,vfl wolfsburg
5,city,solna
5,stadium,allianz arena olympic stadium munich
5,season,2011
5,manager,atsufumi comparetto
6,name,luitpold avra
6,surname,guyton
6,birthyear,1981
6,birthplace,des
6,position,goalkeeper
6,team,valencia cf
6,city,montevideo
6,stadium,constant vanden stock stadium
6,season,2011
6,manager,veit luks
7,name,ryoichi ilan
7,surname,togni
7,birthyear,1992
7,birthplace,vienna
7,position,forward
7,team,fk partizan
7,city,orlando
7,stadium,white hart lane
7,season,2013
7,manager,ryouji dare
8,name,zhili vinay
8,surname,molzberger
8,birthyear,1981
8,birthplace,florence
8,position,goalkeeper
8,team,boavista f.c.
8,city,naples
8,stadium,veltins-arena
8,season,2013
8,manager,srikanth chimia
9,name,maggie zhiqiang
9,surname,dabipi
9,birthyear,1980
9,birthplace,la
9,position,defender
9,team,p.a.o.k fc
9,city,munich
9,stadium,allianz arena olympic stadium munich
9,season,2012
9,manager,sreenivas wohr
10,name,guisseppi abdelmadjid
10,surname,newstead
10,birthyear,1994
10,birthplace,istanbul
10,position,midfield
10,team,juventus
10,city,salvador
10,stadium,bmo field
10,season,2012
10,manager,ilyoung giese
11,name,pitro melek
11,surname,poulin
11,birthyear,1975
11,birthplace,buffalo
11,position,midfield
11,team,fc kaiserslautern
11,city,munich
11,stadium,stadio olimpico
11,season,2012
11,manager,atsufumi comparetto
12,name,nalvo shaygan
12,surname,handschuh
12,birthyear,1996
12,birthplace,missoula
12,position,defender
12,team,boavista f.c.
12,city,naples
12,stadium,veltins-arena
12,season,2015
12,manager,duckyoung padhye
13,name,maggie zhiqiang
13,surname,dabipi
13,birthyear,1980
13,birthplace,la
13,position,defender
13,team,p.a.o.k fc
13,city,munich
13,stadium,allianz arena olympic stadium munich
13,season,2012
13,manager,sreenivas wohr
14,name,gina kenta
14,surname,besancenot
14,birthyear,1976
14,birthplace,mobile
14,position,defender
14,team,clube de regatas do flamengo
14,city,rio de janeiro
14,stadium,stadio olimpico
14,season,2013
14,manager,jeremy cantu
15,name,takenobu leighton
15,surname,derby
15,birthyear,1989
15,birthplace,savannah
15,position,defender
15,team,juventus
15,city,salvador
15,stadium,bmo field
15,season,2015
15,manager,sigenobu bodagala
16,name,behcet liu
16,surname,tomii
16,birthyear,1991
16,birthplace,myrtle
16,position,defender
16,team,p.a.o.k fc
16,city,munich
16,stadium,allianz arena olympic stadium munich
16,season,2012
16,manager,sreenivas wohr
17,name,rastislav stevo
17,surname,bellosta
17,birthyear,1976
17,birthplace,cozumel
17,position,midfield
17,team,the new saints f.c.
17,city,arlington
17,stadium,parc des princes
17,season,2012
17,manager,mayan tautenhahn
18,name,yannick ronald
18,surname,schwartzel
18,birthyear,1977
18,birthplace,beaumont
18,position,forward
18,team,aalborg boldspilklub
18,city,london
18,stadium,anfield
18,season,2014
18,manager,rosangela ketz
19,name,hongsing marla
19,surname,kubicka
19,birthyear,1993
19,birthplace,barcelona
19,position,goalkeeper
19,team,montpellier hsc
19,city,recife
19,stadium,stade velodrome
19,season,2013
19,manager,bernando jesus
20,name,catherina loan
20,surname,kolvik
20,birthyear,1980
20,birthplace,killeen
20,position,defender
20,team,forest green rovers f.c.
20,city,solna
20,stadium,allianz arena olympic stadium munich
20,season,2012
20,manager,srikanth chimia
21,name,yuka prakash
21,surname,hopewell
21,birthyear,1991
21,birthplace,tallahassee
21,position,forward
21,team,boavista f.c.
21,city,hamburg
21,stadium,estadio da luz
21,season,2015
21,manager,duckyoung padhye
22,name,surapol yechezkel
22,surname,noltemeier
22,birthyear,1984
22,birthplace,reno
22,position,midfield
22,team,valencia cf
22,city,montevideo
22,stadium,constant vanden stock stadium
22,season,2011
22,manager,vagan smallwood
23,name,gang vivekananda
23,surname,hofstetter
23,birthyear,1983
23,birthplace,mobile
23,position,midfield
23,team,fc midtjylland
23,city,houston
23,stadium,stade louis ii
23,season,2011
23,manager,mattan edelhoff
24,name,antonius ard
24,surname,rikino
24,birthyear,1975
24,birthplace,prague
24,position,defender
24,team,toronto fc
24,city,stuttgart
24,stadium,camp nou
24,season,2014
24,manager,kazuhiko claybrook
25,name,gang vivekananda
25,surname,hofstetter
25,birthyear,1983
25,birthplace,mobile
25,position,midfield
25,team,acf fiorentina
25,city,hamburg
25,stadium,king power stadium
25,season,2014
25,manager,aiqun levergood
26,name,mazin emeka
26,surname,milicia
26,birthyear,1989
26,birthplace,new
26,position,midfield
26,team,west ham united f.c.
26,city,solna
26,stadium,balaidos
26,season,2011
26,manager,jiangling micheaux
27,name,jinsei ranjeev
27,surname,blix
27,birthyear,1983
27,birthplace,cozumel
27,position,midfield
27,team,wolverhampton wanderers football club
27,city,dortmund
27,stadium,stadio san paolo
27,season,2013
27,manager,sigenobu bodagala
28,name,elie mart
28,surname,otillio
28,birthyear,1982
28,birthplace,zihuatenejo
28,position,defender
28,team,fc bayern munich
28,city,seattle
28,stadium,san siro stadium
28,season,2015
28,manager,atsufumi comparetto
29,name,tatuo bongki
29,surname,scofield
29,birthyear,1992
29,birthplace,birmingham
29,position,forward
29,team,s.c. braga
29,city,gelsenkirchen
29,stadium,sporting park
29,season,2013
29,manager,shyamala gibbs
30,name,matthey toshihisa
30,surname,bowhill
30,birthyear,1983
30,birthplace,colorado
30,position,midfield
30,team,acf fiorentina
30,city,hamburg
30,stadium,king power stadium
30,season,2013
30,manager,amandio klosowski
31,name,abdalla susannne
31,surname,hoare
31,birthyear,1982
31,birthplace,gulfport
31,position,midfield
31,team,valencia cf
31,city,montevideo
31,stadium,constant vanden stock stadium
31,season,2011
31,manager,veit luks
32,name,jacob efthimis
32,surname,guoxing
32,birthyear,1986
32,birthplace,appleton
32,position,forward
32,team,a.c. perugia calcio
32,city,solna
32,stadium,donbass arena
32,season,2014
32,manager,nabih rios
33,name,osmar norton
33,surname,gove
33,birthyear,1975
